restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,diet
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,good,meat
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,okay,vegan
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,bad,meat
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,good,meat
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,okay,meat
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,good,meat
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,okay,meat
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,good,vegetarian
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,good,vegetarian
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,good,vegan
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,bad,meat
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,good,meat
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,bad,vegetarian
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,good,meat
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,good,vegetarian
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,bad,meat
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,good,vegetarian
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,bad,vegetarian
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,okay,vegetarian
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,good,vegan
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,good,meat
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,okay,meat
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,okay,vegetarian
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,bad,vegan
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,okay,meat
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,good,vegetarian
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,good,meat
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,bad,vegetarian
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,okay,vegan
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,bad,vegetarian
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,good,vegetarian
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,bad,meat
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,okay,meat
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,good,meat
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,okay,meat
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,good,vegetarian
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,good,vegetarian
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,bad,vegetarian
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,okay,meat
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,good,vegan
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,okay,vegan
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,okay,meat
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,good,vegetarian
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,bad,vegetarian
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,okay,meat
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,okay,meat
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,good,meat
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,okay,vegetarian
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,good,vegetarian
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,good,vegan
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,okay,meat
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,good,vegan
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,bad,vegetarian
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,good,meat
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,good,meat
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,bad,meat
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,good,meat
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,okay,vegetarian
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,good,vegan
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,good,vegetarian
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,okay,meat
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,bad,meat
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,bad,meat
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,bad,meat
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,okay,vegetarian
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,good,meat
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,okay,vegan
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,good,vegetarian
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,good,vegetarian
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,good,meat
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,okay,meat
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,good,meat
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,bad,meat
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,okay,vegetarian
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,okay,vegan
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,good,vegan
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,okay,meat
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,good,meat
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,good,meat
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,okay,vegan
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,bad,vegetarian
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,bad,meat
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,good,meat
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,good,meat
the golden curry,expensive,south,australasian,01223 329432,,,good,vegan
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,okay,vegetarian
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,good,meat
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,bad,meat
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,bad,meat
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,good,vegetarian
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,okay,vegan
saffron brasserie,expensive,centre,jamaican,,,,okay,meat
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,okay,meat
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,good,vegan
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,okay,vegetarian
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,good,meat
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,okay,meat
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,okay,vegetarian
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,good,vegetarian
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,okay,vegetarian
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,bad,vegan
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,good,vegan
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,okay,vegan
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,okay,meat
panahar,expensive,centre,mediterranean,,,,good,meat
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,good,vegetarian
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,okay,vegan
sesame restaurant and bar,moderate,,turkish,,,,bad,vegan
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,okay,vegetarian
